name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Malaysia,2023-01-28,30.9,23.8,26.8,33.7,23.8,28.2,22.3,77.3,1.13,100,8.33,rain,0,0,12.2,10.5,55.1,1008.5,47.1,9.8,35.6,3,3,10,2023-01-28T07:26:46,2023-01-28T19:25:28,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-29,30.9,24.1,27.5,33.4,24.1,28.7,21.2,69.9,0,0,0,rain,0,0,19.1,16.3,69.3,1008.7,52.3,10.1,145.8,12.4,6,10,2023-01-29T07:26:53,2023-01-29T19:25:43,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-30,30.5,24.7,27.5,33.2,24.7,29.1,21.6,70.9,0,0,0,rain,0,0,18.4,11.4,44.1,1009.7,53,9.2,130.4,11.3,7,10,2023-01-30T07:27:00,2023-01-30T19:25:57,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-01-31,31.7,25,27.3,35.4,25,28.8,22.1,74.1,0,0,0,rain,0,0,12.2,13.9,42.1,1009.4,52.6,10.2,150.4,13,7,30,2023-01-31T07:27:06,2023-01-31T19:26:11,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-01,32.9,24.8,26.8,38.1,24.8,28.2,23.2,81.7,0,0,0,,0,0,7.6,15.9,329.6,1009.2,53.2,9.7,206.1,17.8,7,30,2023-02-01T07:27:11,2023-02-01T19:26:23,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-02,31.8,24.3,26.4,36.8,24.3,27.7,23.7,86,2.127,100,8.33,rain,0,0,6.1,15.9,270.6,1009.2,54.9,9.3,148.1,12.7,8,60,2023-02-02T07:27:16,2023-02-02T19:26:35,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-03,28.3,24.7,26.5,32.7,24.7,28.6,24.1,86.6,23.562,100,8.33,rain,0,0,10.4,5.9,14.7,1009,47.8,9.1,75.3,6.7,3,30,2023-02-03T07:27:19,2023-02-03T19:26:46,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-04,32.9,24.1,27.5,37.1,24.1,29.4,23.2,79,1,100,4.17,rain,0,0,13,10.5,315.7,1008.3,47.5,8.8,260.1,22.4,10,30,2023-02-04T07:27:21,2023-02-04T19:26:56,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-05,31.9,24.8,27.2,36.5,24.8,28.8,23.2,79.9,0,0,0,rain,0,0,10.1,15.7,305.2,1008.3,51.2,9.6,236,20.5,8,30,2023-02-05T07:27:23,2023-02-05T19:27:06,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48647099999,48650099999,WMSA,WMKK"
Malaysia,2023-02-06,26.1,23,24.8,26.1,23,24.8,22.8,89.1,0.5,100,4.17,rain,0,0,11.5,14.1,346.7,1009.9,54,9.2,42.1,3.6,2,10,2023-02-06T07:27:23,2023-02-06T19:27:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48647099999,48650099999,WMSA,WMKK"
